i,time,layer,decision,datetime,reason,box_cause,event_type,direction,box_dir,entry_price,exit_time,exit_price,exit_reason,pnl,equity,dd,in_position,position_owner,l2_reason
3851,1724644800,,nonentry,2024-08-26 04:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3852,1724648400,,nonentry,2024-08-26 05:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3853,1724652000,,nonentry,2024-08-26 06:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3854,1724655600,,nonentry,2024-08-26 07:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3855,1724659200,,nonentry,2024-08-26 08:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3856,1724662800,,nonentry,2024-08-26 09:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3857,1724666400,L1,entry,2024-08-26 10:00,entered,,ENTRY,short,,19722.0,1724667300,19628.5,TAKE_PROFIT_HARD,1870.0,24819.0,2724.0,True,L1,
3858,1724670000,,nonentry,2024-08-26 11:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3859,1724673600,,nonentry,2024-08-26 12:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3860,1724677200,,nonentry,2024-08-26 13:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3861,1724680800,L1,entry,2024-08-26 14:00,entered,,ENTRY,short,,19536.75,1724682900,19600.05,STOP_LOSS_HARD,-1265.9999999999854,23553.0,3990.0,True,L1,
3862,1724684400,,nonentry,2024-08-26 15:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3863,1724688000,,nonentry,2024-08-26 16:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3864,1724695200,,nonentry,2024-08-26 18:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3865,1724698800,,nonentry,2024-08-26 19:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3866,1724702400,,nonentry,2024-08-26 20:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3867,1724706000,,nonentry,2024-08-26 21:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3868,1724709600,,nonentry,2024-08-26 22:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3869,1724713200,,nonentry,2024-08-26 23:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3870,1724716800,,nonentry,2024-08-27 00:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3871,1724720400,,nonentry,2024-08-27 01:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
