et,pnl_usd,outcome,entry,exit_price,exit_s,block
2023-01-26 08:30:00,-95.33000000000129,stopped_post,1906.6,1904.6933999999999,3.0,Durable Goods Orders MoM
2023-02-27 08:30:00,235.00000000000227,timed,1904.2,1908.9,900.0,Durable Goods Orders MoM
2023-03-24 08:30:00,-85.54000000000315,stopped_post,1710.8,1709.0892,130.0,Durable Goods Orders MoM
2023-04-26 08:30:00,-87.44000000000369,stopped_post,1748.8,1747.0511999999999,0.0,Durable Goods Orders MoM
2023-05-26 08:30:00,-88.09499999999844,stopped_post,1761.9,1760.1381000000001,0.0,Durable Goods Orders MoM
2023-06-27 08:30:00,370.00000000000455,tp,1836.0,1843.4,759.0,Durable Goods Orders MoM
2023-07-27 08:30:00,400.19999999999527,tp,2001.0,2009.004,295.0,Durable Goods Orders MoM
2023-08-24 08:30:00,85.00000000000227,timed,1870.1,1871.8,900.0,Durable Goods Orders MoM
2023-09-27 08:30:00,115.0000000000091,timed,1784.6,1786.9,900.0,Durable Goods Orders MoM
2023-10-26 08:30:00,-82.66499999999724,stopped_post,1653.3,1651.6467,4.0,Durable Goods Orders MoM
2023-11-22 08:30:00,-89.99499999999898,stopped_post,1799.9,1798.1001,4.0,Durable Goods Orders MoM
2023-12-22 08:30:00,-101.98500000000195,stopped_post,2039.7,2037.6603,61.0,Durable Goods Orders MoM
2024-01-25 08:30:00,-99.18499999999995,stopped_post,1983.7,1981.7163,2.0,Durable Goods Orders MoM
2024-02-27 08:30:00,75.0,timed,2045.4,2046.9,900.0,Durable Goods Orders MoM
2024-03-26 08:30:00,-109.9999999999909,stopped_post,2112.2,2110.0,249.0,Durable Goods Orders MoM
2024-04-24 08:30:00,-100.60499999999593,stopped_post,2012.1,2010.0879,406.0,Durable Goods Orders MoM
2024-05-24 08:30:00,184.9999999999909,timed,2063.9,2067.6,900.0,Durable Goods Orders MoM
2024-06-27 08:30:00,-101.96999999999434,stopped_post,2039.4,2037.3606000000002,0.0,Durable Goods Orders MoM
2024-07-25 08:30:00,-110.63500000000204,stopped_post,2212.7,2210.4873,3.0,Durable Goods Orders MoM
2024-08-26 08:30:00,-114.99999999998636,stopped_post,2243.6,2241.3,396.0,Durable Goods Orders MoM
2024-09-26 08:30:00,234.9999999999909,timed,2240.4,2245.1,900.0,Durable Goods Orders MoM
2024-10-25 08:30:00,65.0000000000091,timed,2236.6,2237.9,900.0,Durable Goods Orders MoM
2024-11-27 08:30:00,490.1800000000094,tp,2450.9,2460.7036000000003,40.0,Durable Goods Orders MoM
2024-12-23 09:30:00,-113.13999999999851,stopped_post,2262.8,2260.5372,248.0,Durable Goods Orders MoM
2025-01-28 08:30:00,-114.91000000000895,stopped_post,2298.2,2295.9017999999996,85.0,Durable Goods Orders MoM
2025-02-27 08:30:00,-109.69500000001062,stopped_pre,2193.9,2191.7061,-208.0,Durable Goods Orders MoM
2025-03-26 08:30:00,179.99999999999545,timed,2112.5,2116.1,898.0,Durable Goods Orders MoM
2025-04-24 08:30:00,355.0000000000068,timed,1919.8,1926.9,900.0,Durable Goods Orders MoM
2025-05-27 08:30:00,-103.7900000000036,stopped_post,2075.8,2073.7242,665.0,Durable Goods Orders MoM
2025-06-26 08:30:00,-107.95000000000528,stopped_post,2159.0,2156.841,216.0,Durable Goods Orders MoM
2025-07-25 08:30:00,79.99999999999545,timed,2270.3,2271.9,887.0,Durable Goods Orders MoM
2025-08-26 08:30:00,89.99999999998636,timed,2344.9,2346.7,900.0,Durable Goods Orders MoM
2025-09-25 08:30:00,-121.94500000000517,stopped_pre,2438.9,2436.4611,-117.0,Durable Goods Orders MoM
2025-11-26 08:30:00,-50.0,timed,2472.1,2471.1,898.0,Durable Goods Orders MoM
2025-12-23 08:30:00,-134.9999999999909,stopped_post,2567.2,2564.5,395.0,Durable Goods Orders MoM
2026-01-26 08:30:00,-139.99999999998636,stopped_post,2679.2,2676.4,15.0,Durable Goods Orders MoM
2026-02-18 08:30:00,-40.000000000009095,timed,2653.3,2652.5,900.0,Durable Goods Orders MoM
2026-03-13 08:30:00,254.99999999999545,timed,2502.3,2507.4,900.0,Durable Goods Orders MoM
2026-04-07 08:30:00,-126.97000000000571,stopped_post,2539.4,2536.8606,318.0,Durable Goods Orders MoM
2026-04-29 08:30:00,-138.57000000000426,stopped_post,2771.4,2768.6286,34.0,Durable Goods Orders MoM
2026-05-28 08:30:00,582.2200000000066,tp,2911.1,2922.7444,449.0,Durable Goods Orders MoM
2026-06-25 08:30:00,603.3200000000079,tp,3016.6,3028.6664,36.0,Durable Goods Orders MoM
2026-07-27 08:30:00,75.0,timed,2970.3,2971.8,900.0,Durable Goods Orders MoM
