instrument,release,n,pearson_r,pearson_p,spearman_r,spearman_p,passes_alpha,rule_accuracy,rule_ci_lo,rule_ci_hi,tradeable,provenance_verified,perm_p,control_spearman_p
ES,Import Prices MoM,100,-0.12459573603924955,0.2167888597533387,-0.14064483296622168,0.16280066618772862,False,0.5319148936170213,0.43178263745870227,0.6295410597981543,False,True,,
ES,Industrial Production MoM,101,-0.20086199278014494,0.04400031742359005,-0.1279515407843344,0.20225985064772264,False,0.5,0.40192402450773296,0.598075975492267,False,True,,
ES,Inflation Rate MoM,99,-0.03993318681463097,0.6947326839975067,-0.10811379097093383,0.28679330250491947,False,0.5757575757575757,0.4773666401156489,0.668488933810911,False,True,,
ES,Inflation Rate YoY,100,-0.038247883511108346,0.7055729159806967,-0.10886288628862885,0.280966770430732,False,0.5,0.4038315303442626,0.5961684696557374,False,True,,
ES,Initial Jobless Claims,523,-0.030529440041001873,0.486005875520174,-0.07079550561017249,0.1058368674437338,False,0.5050301810865191,0.4612045029449171,0.5487786961531672,False,True,,
ES,JOLTs Job Openings,100,-0.02220970125892455,0.8263916353252371,-0.07273349154995698,0.4720523298377936,False,0.5,0.4028918256032012,0.5971081743967988,False,True,,
ES,Manufacturing Payrolls,103,-0.03974791548870056,0.6901645769482683,-0.04534821144467416,0.6492161492933047,False,0.5700000000000001,0.4721538954694099,0.6626670147792714,False,True,,
ES,Michigan Consumer Expectations Final,45,0.06328595666413905,0.6796043728707631,0.09749670619235837,0.5240310165831138,False,0.5555555555555556,0.411761344903146,0.6906106996783098,False,True,,
ES,Michigan Consumer Expectations Prel,70,0.014042968092151855,0.9081423184488456,0.055970606246172686,0.645363366214973,False,0.5217391304347826,0.4058725487100976,0.635312787889359,False,True,,
ES,Michigan Consumer Sentiment Final,103,0.0339490474207825,0.7335263637938708,0.06120678293722268,0.539098890653973,False,0.5048543689320388,0.40987543920771663,0.5994842233335949,False,True,,
ES,Michigan Consumer Sentiment Prel,103,0.07830446126271645,0.4317427186469207,0.08093948898981328,0.4163581596734776,False,0.5252525252525253,0.4277930823555662,0.6208254422866207,False,True,,
ES,Michigan Current Conditions Final,48,0.07827725196009984,0.596917906416429,0.13710377768128526,0.35276341672260203,False,0.5833333333333334,0.4428133228078269,0.7115033222424533,False,True,,
ES,Michigan Current Conditions Prel,72,0.09846718322740663,0.4105640805081438,0.10317466698084844,0.3884404932025044,False,0.5,0.3859571764276537,0.6140428235723463,False,True,,
ES,NAHB Housing Market Index,103,0.10153177811468476,0.30749169618012456,0.08248056736996608,0.4075102934840051,False,0.51,0.4134801193183753,0.6057800107171506,False,True,,
ES,NFIB Business Optimism Index,65,0.010895729674097422,0.9313533421689298,-0.14286963258728344,0.2562337775325007,False,0.5901639344262295,0.46499792270120477,0.7046466257058938,False,True,,
ES,NY Empire State Manufacturing Index,101,0.15779860160853215,0.11502398989366898,-0.0016773637434305496,0.9867178472111516,False,0.5408163265306123,0.44248041590107046,0.6360730542916875,False,True,,
ES,Net Long-term TIC Flows,43,0.3504955671236774,0.021208017270744572,0.12624584717607973,0.41984497853341396,False,0.5581395348837209,0.41107614449549823,0.695666901636929,False,True,,
