release,instrument,n,mde_r,bonferroni_alpha
Core Inflation Rate YoY,GC,125,0.4085934230131286,7.776049766718508e-05
Core PCE Price Index MoM,GC,125,0.4085934230131286,7.776049766718508e-05
Core PPI YoY,GC,125,0.4085934230131286,7.776049766718508e-05
ISM Manufacturing Prices,GC,125,0.4085934230131286,7.776049766718508e-05
Inflation Rate YoY,GC,125,0.4085934230131286,7.776049766718508e-05
PPI YoY,GC,125,0.4085934230131286,7.776049766718508e-05
Core Inflation Rate MoM,GC,124,0.4100829737335035,7.776049766718508e-05
Export Prices MoM,GC,124,0.4100829737335035,7.776049766718508e-05
Housing Starts,GC,124,0.4100829737335035,7.776049766718508e-05
Import Prices MoM,GC,124,0.4100829737335035,7.776049766718508e-05
Inflation Rate MoM,GC,124,0.4100829737335035,7.776049766718508e-05
JOLTs Job Openings,GC,124,0.4100829737335035,7.776049766718508e-05
Monthly Budget Statement,GC,124,0.4100829737335035,7.776049766718508e-05
New Home Sales,GC,123,0.4115888797617477,7.776049766718508e-05
Core PCE Price Index YoY,GC,116,0.42261440904575215,7.776049766718508e-05
Personal Income MoM,GC,111,0.4310530937942487,7.776049766718508e-05
Average Hourly Earnings YoY,GC,106,0.44001600352942555,7.776049766718508e-05
Michigan Current Conditions Prel,GC,96,0.4597485116306709,7.776049766718508e-05
Michigan Consumer Expectations Prel,GC,94,0.46402146418032153,7.776049766718508e-05
Manufacturing Production MoM,GC,89,0.47524438558718884,7.776049766718508e-05
NFIB Business Optimism Index,GC,89,0.47524438558718884,7.776049766718508e-05
ISM Non-Manufacturing PMI,GC,87,0.4799656186678168,7.776049766718508e-05
Richmond Fed Manufacturing Index,GC,87,0.4799656186678168,7.776049766718508e-05
Fed Interest Rate Decision,GC,84,0.48731695017867094,7.776049766718508e-05
Building Permits,GC,82,0.4924082561643617,7.776049766718508e-05
House Price Index MoM,GC,81,0.49501400145984564,7.776049766718508e-05
ISM Manufacturing Employment,GC,75,0.5115591836472961,7.776049766718508e-05
ISM Non-Manufacturing Business Activity,GC,73,0.5174504535373323,7.776049766718508e-05
Existing Home Sales MoM,GC,72,0.5204726554299641,7.776049766718508e-05
Michigan Current Conditions Final,GC,72,0.5204726554299641,7.776049766718508e-05
New Home Sales MoM,GC,70,0.5266776297218603,7.776049766718508e-05
Michigan Consumer Expectations Final,GC,69,0.5298635577926925,7.776049766718508e-05
Net Long-term TIC Flows,GC,67,0.536410675208352,7.776049766718508e-05
Total Vehicle Sales,GC,67,0.536410675208352,7.776049766718508e-05
Wholesale Inventories MoM Adv,GC,65,0.5432034742215733,7.776049766718508e-05
CPI,GC,62,0.5538875788154687,7.776049766718508e-05
Goods Trade Balance Adv,GC,60,0.561365383042495,7.776049766718508e-05
PCE Price Index MoM,GC,54,0.5857221316794382,7.776049766718508e-05
IBD/TIPP Economic Optimism,GC,52,0.5945590651599607,7.776049766718508e-05
Non Defense Goods Orders Ex Air,GC,52,0.5945590651599607,7.776049766718508e-05
PCE Price Index YoY,GC,50,0.603799213960116,7.776049766718508e-05
EIA Crude Oil Stocks Change,HG,549,0.20228489228560564,7.776049766718508e-05
Initial Jobless Claims,HG,548,0.20246528041501022,7.776049766718508e-05
EIA Gasoline Stocks Change,HG,541,0.2037416537227553,7.776049766718508e-05
EIA Natural Gas Stocks Change,HG,540,0.20392597012249197,7.776049766718508e-05
Continuing Jobless Claims,HG,531,0.20560764108408877,7.776049766718508e-05
EIA Distillate Stocks Change,HG,334,0.25750768600986784,7.776049766718508e-05
API Crude Oil Stock Change,HG,288,0.2765127887644907,7.776049766718508e-05
Balance of Trade,HG,128,0.4042200102428221,7.776049766718508e-05
Factory Orders MoM,HG,128,0.4042200102428221,7.776049766718508e-05
ISM Manufacturing PMI,HG,128,0.4042200102428221,7.776049766718508e-05
Business Inventories MoM,HG,127,0.40566222334560903,7.776049766718508e-05
CB Consumer Confidence,HG,127,0.40566222334560903,7.776049766718508e-05
Chicago PMI,HG,127,0.40566222334560903,7.776049766718508e-05
Consumer Credit Change,HG,127,0.40566222334560903,7.776049766718508e-05
Durable Goods Orders MoM,HG,127,0.40566222334560903,7.776049766718508e-05
Existing Home Sales,HG,127,0.40566222334560903,7.776049766718508e-05
Michigan Consumer Sentiment Final,HG,127,0.40566222334560903,7.776049766718508e-05
Michigan Consumer Sentiment Prel,HG,127,0.40566222334560903,7.776049766718508e-05
NAHB Housing Market Index,HG,127,0.40566222334560903,7.776049766718508e-05
NY Empire State Manufacturing Index,HG,127,0.40566222334560903,7.776049766718508e-05
Pending Home Sales MoM,HG,127,0.40566222334560903,7.776049766718508e-05
Philadelphia Fed Manufacturing Index,HG,127,0.40566222334560903,7.776049766718508e-05
Retail Sales Ex Autos MoM,HG,127,0.40566222334560903,7.776049766718508e-05
Retail Sales MoM,HG,127,0.40566222334560903,7.776049766718508e-05
S&P/Case-Shiller Home Price YoY,HG,127,0.40566222334560903,7.776049766718508e-05
Wholesale Inventories MoM,HG,127,0.40566222334560903,7.776049766718508e-05
Average Hourly Earnings MoM,HG,126,0.40711993474820624,7.776049766718508e-05
Average Weekly Hours,HG,126,0.40711993474820624,7.776049766718508e-05
Capacity Utilization,HG,126,0.40711993474820624,7.776049766718508e-05
Core PPI MoM,HG,126,0.40711993474820624,7.776049766718508e-05
Durable Goods Orders Ex Transp MoM,HG,126,0.40711993474820624,7.776049766718508e-05
Industrial Production MoM,HG,126,0.40711993474820624,7.776049766718508e-05
Manufacturing Payrolls,HG,126,0.40711993474820624,7.776049766718508e-05
Non Farm Payrolls,HG,126,0.40711993474820624,7.776049766718508e-05
Nonfarm Payrolls Private,HG,126,0.40711993474820624,7.776049766718508e-05
PPI MoM,HG,126,0.40711993474820624,7.776049766718508e-05
Personal Spending MoM,HG,126,0.40711993474820624,7.776049766718508e-05
Unemployment Rate,HG,126,0.40711993474820624,7.776049766718508e-05
ADP Employment Change,HG,125,0.4085934230131286,7.776049766718508e-05
CB Leading Index MoM,HG,125,0.4085934230131286,7.776049766718508e-05
Construction Spending MoM,HG,125,0.4085934230131286,7.776049766718508e-05
Core Inflation Rate YoY,HG,125,0.4085934230131286,7.776049766718508e-05
Core PCE Price Index MoM,HG,125,0.4085934230131286,7.776049766718508e-05
Core PPI YoY,HG,125,0.4085934230131286,7.776049766718508e-05
ISM Manufacturing Prices,HG,125,0.4085934230131286,7.776049766718508e-05
Inflation Rate YoY,HG,125,0.4085934230131286,7.776049766718508e-05
PPI YoY,HG,125,0.4085934230131286,7.776049766718508e-05
Core Inflation Rate MoM,HG,124,0.4100829737335035,7.776049766718508e-05
Export Prices MoM,HG,124,0.4100829737335035,7.776049766718508e-05
Housing Starts,HG,124,0.4100829737335035,7.776049766718508e-05
Import Prices MoM,HG,124,0.4100829737335035,7.776049766718508e-05
Inflation Rate MoM,HG,124,0.4100829737335035,7.776049766718508e-05
JOLTs Job Openings,HG,124,0.4100829737335035,7.776049766718508e-05
Monthly Budget Statement,HG,124,0.4100829737335035,7.776049766718508e-05
New Home Sales,HG,123,0.4115888797617477,7.776049766718508e-05
Core PCE Price Index YoY,HG,116,0.42261440904575215,7.776049766718508e-05
Personal Income MoM,HG,111,0.4310530937942487,7.776049766718508e-05
Average Hourly Earnings YoY,HG,106,0.44001600352942555,7.776049766718508e-05
Michigan Current Conditions Prel,HG,96,0.4597485116306709,7.776049766718508e-05
Michigan Consumer Expectations Prel,HG,94,0.46402146418032153,7.776049766718508e-05
Manufacturing Production MoM,HG,89,0.47524438558718884,7.776049766718508e-05
NFIB Business Optimism Index,HG,89,0.47524438558718884,7.776049766718508e-05
ISM Non-Manufacturing PMI,HG,87,0.4799656186678168,7.776049766718508e-05
Richmond Fed Manufacturing Index,HG,87,0.4799656186678168,7.776049766718508e-05
Fed Interest Rate Decision,HG,84,0.48731695017867094,7.776049766718508e-05
Building Permits,HG,82,0.4924082561643617,7.776049766718508e-05
House Price Index MoM,HG,81,0.49501400145984564,7.776049766718508e-05
ISM Manufacturing Employment,HG,75,0.5115591836472961,7.776049766718508e-05
ISM Non-Manufacturing Business Activity,HG,73,0.5174504535373323,7.776049766718508e-05
Existing Home Sales MoM,HG,72,0.5204726554299641,7.776049766718508e-05
Michigan Current Conditions Final,HG,72,0.5204726554299641,7.776049766718508e-05
New Home Sales MoM,HG,70,0.5266776297218603,7.776049766718508e-05
Michigan Consumer Expectations Final,HG,69,0.5298635577926925,7.776049766718508e-05
Net Long-term TIC Flows,HG,67,0.536410675208352,7.776049766718508e-05
Total Vehicle Sales,HG,67,0.536410675208352,7.776049766718508e-05
