cell,tok,arm,N,rule,n_conf,mean25,t25,mde,expl_mean25,yrs_pos,max_year_share,loyo_min,ticks,verdict
HG_globex_5_R2,HG,globex,5,R2,1499,-45.83,-3.076,41.72,-34.23,1/7,,-76643.0,-1.46,NEGATIVE (t) but UNDERPOWERED vs $25
HG_globex_5_R3,HG,globex,5,R3,1499,-25.67,-5.848,12.29,-24.23,1/7,,-40494.0,-0.18,NEGATIVE
HG_globex_15_R1,HG,globex,15,R1,628,-89.39,-3.727,67.16,-35.17,1/7,,-58838.0,-4.49,NEGATIVE (t) but UNDERPOWERED vs $25
HG_globex_15_R2,HG,globex,15,R2,628,-75.84,-3.789,56.04,-15.92,0/7,,-47361.0,-3.11,NEGATIVE (t) but UNDERPOWERED vs $25
HG_globex_15_R3,HG,globex,15,R3,628,-33.27,-2.778,33.54,-19.61,1/7,,-21331.0,-0.49,NEGATIVE (t) but UNDERPOWERED vs $25
HG_globex_30_R1,HG,globex,30,R1,231,-43.67,-0.879,139.16,17.94,3/7,,-15012.0,-5.16,UNDERPOWERED
HG_globex_30_R2,HG,globex,30,R2,231,-17.22,-0.438,110.21,65.08,3/7,,-5743.0,-1.12,UNDERPOWERED
HG_globex_30_R3,HG,globex,30,R3,231,21.73,0.846,71.86,-63.71,4/7,0.5,2494.0,-1.41,UNDERPOWERED
HG_globex_60_R1,HG,globex,60,R1,86,-27.03,-0.269,281.54,182.29,4/7,,-4775.0,0.81,UNDERPOWERED
HG_globex_60_R2,HG,globex,60,R2,86,14.73,0.202,204.5,173.19,5/7,1.23,-289.0,-0.27,UNDERPOWERED
HG_globex_60_R3,HG,globex,60,R3,86,9.01,0.139,181.04,32.81,3/7,3.03,-1575.0,1.1,UNDERPOWERED
HG_cash_0_C1,HG,cash,0,C1,300,-109.54,-3.496,87.74,-46.17,0/7,,-32638.0,-3.11,NEGATIVE (t) but UNDERPOWERED vs $25
CL_cash_5_R1,CL,cash,5,R1,1806,-1.06,-0.056,53.59,-27.97,3/7,,-16060.0,1.52,UNDERPOWERED
CL_cash_5_R2,CL,cash,5,R2,1806,-8.55,-0.558,42.9,-23.97,3/7,,-31440.0,0.81,UNDERPOWERED
CL_cash_5_R3,CL,cash,5,R3,1806,-10.89,-1.65,18.48,-17.67,1/7,,-22750.0,1.22,NULL
CL_cash_15_R1,CL,cash,15,R1,1805,-0.33,-0.016,58.24,-21.37,4/7,,-17400.0,1.16,UNDERPOWERED
CL_cash_15_R2,CL,cash,15,R2,1805,-16.83,-1.179,39.98,-27.61,1/7,,-42029.0,0.13,UNDERPOWERED
CL_cash_15_R3,CL,cash,15,R3,1805,-14.84,-1.597,26.02,-25.34,2/7,,-32675.0,0.39,UNDERPOWERED
CL_cash_30_R1,CL,cash,30,R1,1800,-8.62,-0.41,58.81,-12.86,4/7,,-27225.0,1.01,UNDERPOWERED
CL_cash_30_R2,CL,cash,30,R2,1800,-18.52,-1.332,38.93,-15.17,1/7,,-41067.0,0.51,UNDERPOWERED
